logFC logCPM F PValue FDR
XLOC_020921 -2.01898226756566 4.82761002207531 172.627048543261 3.68386069824835e-07 0.00681403713354997
XLOC_043877 -3.19374635891376 6.37591972871571 121.738763657444 1.6217587439176e-06 0.014998835743122
XLOC_037479 -2.15440741529364 3.2163238426574 85.8912813922986 6.90158867123733e-06 0.0425528952172923
XLOC_000348 6.66624310865164 -0.421710944777701 76.8252154098462 1.08752030450988e-05 0.0502896576812979
XLOC_027395 3.85357221847484 0.386802121848384 60.4843968819322 2.83541132919132e-05 0.0916966498974799
XLOC_020688 -1.67371864921313 4.25775783320742 56.63358276526 3.674318922206e-05 0.0916966498974799
XLOC_009724 2.87694402044333 0.263538926908187 53.8994351390143 4.45912311437086e-05 0.0916966498974799
XLOC_016275 1.86973404130516 3.66564308087526 53.1157012903451 4.72101024716745e-05 0.0916966498974799
XLOC_025173 -2.71946409460563 1.90883922908478 52.9452956497014 4.78042052759348e-05 0.0916966498974799
XLOC_017180 -2.9820869665286 2.02738617748538 51.5547689592772 5.30104698439122e-05 0.0916966498974799
XLOC_021141 3.59638701494181 -0.366473786092186 51.1609661483146 5.46093586812596e-05 0.0916966498974799
XLOC_029218 1.37677267441842 3.75222247884731 50.0413603286847 5.94885548342844e-05 0.0916966498974799
XLOC_012123 3.08407083779172 -0.337129210212158 48.6239318326566 6.64553350638127e-05 0.0926760113858139
XLOC_047625 -3.15740452139811 1.08615125111702 47.8035069692439 7.09451516189025e-05 0.0926760113858139
XLOC_004338 -3.04254502776381 0.745801397298156 47.0900049988821 7.51548992153975e-05 0.0926760113858139
XLOC_051668 3.40004648323432 -0.861449466733798 44.4157860758623 9.39222469049216e-05 0.102735204436143
XLOC_014506 -1.81399340239658 2.31923494988698 44.3539024878918 9.44206344496101e-05 0.102735204436143
XLOC_003093 1.8971824503478 3.29679258854472 41.5078529466714 0.000121290362525122 0.11688653160758
XLOC_047694 -2.48466944920929 2.47160386039409 41.4455214265278 0.000121976954926489 0.11688653160758
XLOC_001616 1.77214982106799 2.14844643701891 41.0553699046454 0.000126384312707552 0.11688653160758
XLOC_051667 3.02033452974733 -0.0770512950613691 40.110408460717 0.000137893970520748 0.121458322510584
XLOC_030806 1.97867065549197 2.46335028816248 39.2259247014745 0.000149849963880365 0.125989762813414
XLOC_043872 -7.22775159650209 -1.27725744275665 43.1985682935734 0.00017781327142033 0.14300052528095
