logFC logCPM F PValue FDR
TCONS_00063463 -4.74277310055051 5.71213245295572 276.659611298534 5.79908602645634e-08 0.00170141729532505
TCONS_00039988 3.98488535200982 2.843006797269 241.699813883147 1.03351088554293e-07 0.00170141729532505
TCONS_00032909 5.4500940993945 -0.267388062705512 213.303529101109 1.76006654647285e-07 0.00193167303475395
TCONS_00039966 4.47666273910769 0.0114169967688498 149.088335210922 7.97934794783805e-07 0.00625771992409381
TCONS_00063464 -3.44353013650138 3.4154358167053 142.986030911468 9.50299153241278e-07 0.00625771992409381
TCONS_00017572 1.25542383617054 7.19974127679944 130.124974762804 1.40733519003554e-06 0.00772275185532004
TCONS_00030498 -1.58719947360055 4.77662837036624 113.056301232795 2.51814009604079e-06 0.0118442518088776
TCONS_00000477 4.92894001140594 -0.41366805304199 101.85030969643 3.86525762646743e-06 0.01590795091893
TCONS_00007289 3.55394302083366 2.09381923452106 93.3926940622849 5.50406235734889e-06 0.0172636876942742
TCONS_00042651 1.52904646919902 3.61614346733473 92.2061831618356 5.79746218890427e-06 0.0172636876942742
TCONS_00039977 -2.5694327072925 3.94879531939651 91.5644695050385 5.9641427623372e-06 0.0172636876942742
TCONS_00068983 -3.64262234007538 1.93885092390654 90.19661129275 6.33950261539354e-06 0.0172636876942742
TCONS_00054330 -2.31911522707886 3.00683860044418 88.5957527829373 6.81633834549929e-06 0.0172636876942742
TCONS_00023748 1.72464528907944 3.6617936713293 84.1781687235776 8.38018284441126e-06 0.0197083942965886
TCONS_00004053 2.28411685147573 3.86631448062073 74.9660228052144 1.33364982879109e-05 0.0292736137419644
TCONS_00014102 3.11022021860053 -0.389181361780263 72.2779781313615 1.54230159395964e-05 0.0317376749882008
TCONS_00068050 -1.51664513234382 4.26040910392222 68.8366638718292 1.8713361659092e-05 0.0347247710415571
TCONS_00021071 -2.01393200424846 5.15114251196299 68.5871768043932 1.89839294988011e-05 0.0347247710415571
TCONS_00039984 1.08555361299587 6.10783504176463 65.7055510445007 2.2485674666878e-05 0.0355588337272389
TCONS_00044711 -1.24004087049319 5.40251486434787 65.4404144885365 2.28462316462853e-05 0.0355588337272389
TCONS_00000829 -4.45144405989041 0.980580980198267 64.9929695930579 2.34709420072536e-05 0.0355588337272389
TCONS_00052328 -1.6300241922093 4.85221717893182 63.9658879479761 2.49860902645434e-05 0.0355588337272389
TCONS_00036006 3.54631456629219 1.50301814732019 63.6851781294989 2.54209118848072e-05 0.0355588337272389
TCONS_00045643 1.42210771406907 5.05845515900853 63.3702290291425 2.59198787988985e-05 0.0355588337272389
TCONS_00054201 0.931227382083805 6.52518534662277 62.2682028296656 2.77631204730112e-05 0.0362310694408368
TCONS_00074665 2.89624628822087 -0.857995092333448 61.2850138560128 2.95450634931339e-05 0.0362310694408368
TCONS_00026561 1.79786386493685 2.72019215137713 61.1971085060238 2.97111275596839e-05 0.0362310694408368
TCONS_00039978 -3.85551734339127 0.226011354615042 60.2119400477242 3.16529158001118e-05 0.0366137043117964
TCONS_00022771 1.37157956655853 3.61438765167258 59.9243202816548 3.22489726664266e-05 0.0366137043117964
TCONS_00034599 2.91893503873444 -0.597597689271552 56.9064655476185 3.94152561318528e-05 0.0432582436047085
TCONS_00024421 2.44165301627773 -1.55054373563367 55.2621945624191 4.41441901984335e-05 0.0468854020091426
TCONS_00054644 2.45899746315471 -0.935163619246936 53.354889799797 5.05345217323578e-05 0.0501737604238799
TCONS_00074366 1.50806911448706 2.49988716274268 53.2675143671565 5.0853590015552e-05 0.0501737604238799
TCONS_00052156 2.8697743534297 2.25238258017519 52.8290756392026 5.24924792761111e-05 0.0501737604238799
TCONS_00076404 2.53086026442504 -0.322934376868991 52.6099609929692 5.33358121438359e-05 0.0501737604238799
TCONS_00018400 2.37580194147121 -0.605457720508771 51.9545818263111 5.59594200783063e-05 0.0507327152545043
TCONS_00075320 2.06596297225741 0.260385585559264 51.7022333097007 5.70117073475067e-05 0.0507327152545043
TCONS_00028323 4.1458583195846 1.03036015397198 50.1790647740115 6.39059229014789e-05 0.0549675290436461
TCONS_00012802 2.0335245642908 2.22101389320391 49.9338214080434 6.51096016006742e-05 0.0549675290436461
TCONS_00060645 1.63034899924867 3.49727905571696 48.5402312375226 7.25035936874646e-05 0.0573641859459929
TCONS_00030974 1.28348546413477 4.5597166956341 48.0022791840482 7.56314067919273e-05 0.0573641859459929
TCONS_00030818 2.36744427082741 -0.425559874753712 47.6396681364518 7.78334511681052e-05 0.0573641859459929
TCONS_00042013 3.48084589629236 -1.43330894926259 47.4337365993633 7.91190720612294e-05 0.0573641859459929
TCONS_00074664 2.58990671979497 -0.0763827932392227 47.3967260874491 7.93528820877773e-05 0.0573641859459929
TCONS_00049176 3.79697223608939 0.845389884535475 47.3668869539332 7.95420053735739e-05 0.0573641859459929
TCONS_00046743 -0.893593770578009 7.56143736447961 47.2724293983695 8.01443448296332e-05 0.0573641859459929
TCONS_00032054 2.92218034743586 0.924962970197551 46.1363990887911 8.78463377775404e-05 0.0579008596294519
TCONS_00024733 3.23315746074947 -0.587561463082017 46.1188364362276 8.79723740894445e-05 0.0579008596294519
TCONS_00018464 2.35425853431381 -1.02773874778039 46.067059559046 8.83452385535823e-05 0.0579008596294519
TCONS_00037932 1.98570636560763 0.0424361773159394 46.045170920825 8.85034499184505e-05 0.0579008596294519
TCONS_00043683 -3.40721008412986 -0.629543457669613 45.6467616615928 9.14448696429446e-05 0.0579008596294519
TCONS_00017559 1.2499121925426 5.60381586911197 45.0712248641619 9.59090100093991e-05 0.0579008596294519
TCONS_00072614 -5.18487653893334 -1.79574384805144 45.0663988299831 9.59475601802088e-05 0.0579008596294519
TCONS_00021223 -2.69968529110844 -0.0126647793704964 44.8070484445476 9.80475060882725e-05 0.0579008596294519
TCONS_00063468 -1.87840878990168 4.30183817384453 44.7159002068056 9.87988993370119e-05 0.0579008596294519
TCONS_00002117 -1.40996519040237 4.87399573900159 44.7063368787986 9.88781449891261e-05 0.0579008596294519
TCONS_00038529 0.801195855278547 7.16740822385965 44.5436350192002 0.000100238390246887 0.0579008596294519
TCONS_00004527 2.48825846838263 2.04622346972054 44.2363423066199 0.000102870689720777 0.0580203220443576
TCONS_00037335 1.38705781407833 6.04910075173784 44.1108990621028 0.000103969597588978 0.0580203220443576
TCONS_00021176 -1.94446044615018 2.12873003955064 43.5994590057115 0.000108601815260165 0.0583067744076066
TCONS_00012803 -1.83727421226744 3.10950108999505 43.5123705845312 0.0001094156390585 0.0583067744076066
TCONS_00067884 1.64658508933467 3.42098886386258 43.466346632913 0.000109848746746002 0.0583067744076066
TCONS_00024420 3.40742304462984 -1.09164373818059 43.0928635778858 0.000113442373109147 0.0583067744076066
TCONS_00021770 2.15979358481647 1.65912053820332 42.9604574841266 0.000114750924741516 0.0583067744076066
TCONS_00052051 -3.49541318714164 1.04614821253254 42.620628971593 0.000118195172304149 0.0583067744076066
TCONS_00074998 0.864176666396581 5.26595277100397 42.4123418811052 0.000120369010438584 0.0583067744076066
TCONS_00061060 2.12907233133395 0.630461701838542 42.3963274938644 0.000120538171846652 0.0583067744076066
TCONS_00015348 1.21099513275168 4.84470947735637 42.3081566832907 0.000121474771693511 0.0583067744076066
TCONS_00062827 2.20723413094549 -1.46493853176068 42.2412113645765 0.0001221918734738 0.0583067744076066
TCONS_00014075 1.41447625346638 3.69798001872957 41.9707939890834 0.000125141938249791 0.0588614045267766
TCONS_00029769 -2.94082502212652 1.80573223207334 41.8028620590625 0.000127018007180021 0.0589023645972138
TCONS_00047056 1.49180837871591 3.97859418119476 41.524810621517 0.000130200811760882 0.0595397462114869
TCONS_00021721 -1.66335630212322 2.74691199177429 41.3665955580032 0.000132055591193003 0.0595606895894468
TCONS_00046295 1.22110716602396 3.60724999565836 41.0549777622492 0.0001358045290275 0.0596486160289742
TCONS_00040399 0.869176412938559 8.9288707332762 40.9276394828873 0.000137374016639936 0.0596486160289742
TCONS_00027994 1.64347798608405 4.45539950980073 40.5563673645483 0.000142078879778843 0.0596486160289742
TCONS_00004999 1.46125485580018 2.19692059008868 40.4640118083306 0.000143279812847818 0.0596486160289742
TCONS_00076816 2.6235620051624 -1.01286618371541 40.42210479164 0.000143828853496391 0.0596486160289742
TCONS_00013292 3.26246893912787 0.628923600391659 40.3866967157449 0.000144294762893778 0.0596486160289742
TCONS_00074124 3.44696524435115 -0.17397044784076 40.3384874083311 0.000144932096653544 0.0596486160289742
TCONS_00056404 1.20447394238668 4.06473370995233 40.1850307694913 0.000146983951274946 0.059746254268242
TCONS_00004909 0.941345089624456 5.98225323171068 39.9197804610372 0.000150615367828625 0.0604757437287498
TCONS_00063453 -6.87080773322523 -1.28470652360612 46.1663161639855 0.000154042390159776 0.0606886469461649
TCONS_00007626 2.1108508449246 -1.6248990791779 39.4991911808543 0.000156602092864187 0.0606886469461649
TCONS_00011853 -2.07664199339499 2.94007249391681 39.4941692943082 0.000156675322412271 0.0606886469461649
TCONS_00075236 1.00837697151846 5.30649914326362 38.3565861577437 0.0001744049723302 0.0667707408601377
TCONS_00016928 1.3096078611457 4.4063281842171 38.0962458755696 0.00017880329392337 0.0672237254875766
TCONS_00058906 2.4387522755547 -0.178814189797223 38.0457781982394 0.000179671612540827 0.0672237254875766
TCONS_00032109 -0.955633613386921 4.71032463580206 37.8453790430053 0.000183171072032976 0.0677630061425365
TCONS_00020564 -2.57867023696645 2.91844310353758 37.5474949105262 0.000188528885021629 0.0686197077443708
TCONS_00032968 3.59736469235125 -1.18809430482289 37.4862016226766 0.000189655076833341 0.0686197077443708
TCONS_00075007 0.789189584339469 5.9207241970126 37.35617311727 0.000192071666684344 0.0687386915824134
TCONS_00012146 3.10805401098424 2.67160639386516 37.1244533950371 0.000196472628684953 0.069124687853491
TCONS_00062824 2.23762592574052 -1.37312062610875 36.9350406784709 0.000200162316495848 0.069124687853491
TCONS_00017892 0.742408402516606 5.62183636179164 36.9134009821049 0.000200589243345475 0.069124687853491
TCONS_00002420 2.04862670849757 1.20136478633204 36.8650064862174 0.000201548064812001 0.069124687853491
TCONS_00064624 1.36585268224401 4.70084298299748 36.613768059985 0.000206617164965371 0.0692048764428164
TCONS_00044889 1.49880665032388 2.46307209965536 36.5919741185076 0.000207064227129107 0.0692048764428164
TCONS_00006223 2.33562548512166 -1.02563590641141 36.4946972032889 0.000209074221438035 0.0692048764428164
TCONS_00003138 -0.882339159174688 4.42078407237215 36.4011787676925 0.00021102918395644 0.0692048764428164
TCONS_00061824 2.50604624835678 -1.04281341250581 36.2148975908887 0.000214990627992614 0.0692048764428164
TCONS_00001642 3.54870145368417 -1.57404211928139 36.0773666176108 0.000217974046151523 0.0692048764428164
TCONS_00058900 2.03837819341335 -0.813957050950442 35.9892533914528 0.000219912192523065 0.0692048764428164
TCONS_00015012 1.49604080248096 5.01924297574663 35.9441935809573 0.000220911507414988 0.0692048764428164
TCONS_00077169 2.48716797278904 -0.902142903280341 35.6997616499033 0.000226430603767117 0.0692048764428164
TCONS_00004049 2.73086790110196 1.46984682487094 35.6753977328106 0.000226989952751934 0.0692048764428164
TCONS_00046299 0.678464691181312 5.43155175775024 35.6644298032693 0.000227242309110759 0.0692048764428164
TCONS_00034352 1.14957826695994 3.74779198930437 35.5092568345492 0.000230849797558213 0.0692048764428164
TCONS_00040043 1.01329168549637 3.89470354815486 35.5083066720923 0.000230872102807837 0.0692048764428164
TCONS_00036683 -2.19776808141317 1.91218421546686 35.4732717145214 0.000231696405877297 0.0692048764428164
TCONS_00006352 -2.7421168853711 0.736099675222883 35.4045661352172 0.000233323428416373 0.0692048764428164
