logFC logCPM F PValue FDR
TCONS_00026548 -2.21474039216126 3.97443963645776 297.605753627008 4.24013735215778e-08 0.00139606522319795
TCONS_00039988 3.43763441484203 2.843006797269 247.988617106681 9.26141391068817e-08 0.00152466026504704
TCONS_00003241 -3.42427895138731 2.91588220745451 220.668544304574 1.52344667250117e-07 0.00167198272307004
TCONS_00039978 -4.73088428170143 0.226011354615042 197.387441687172 2.44612528233296e-07 0.00201346687302032
TCONS_00022690 -2.24008445563003 3.30049896497603 149.92873700659 7.79376471124738e-07 0.00393511717655588
TCONS_00011853 -2.58293786472422 2.94007249391681 141.899968491379 9.81044138596391e-07 0.00393511717655588
TCONS_00050342 3.60646952505607 3.00430322082069 141.300782032671 9.98528836421759e-07 0.00393511717655588
TCONS_00056568 1.52105732186369 4.15735532576 140.780500505451 1.01402204117235e-06 0.00393511717655588
TCONS_00017572 0.967573835893476 7.19974127679944 134.286697698002 1.23462106660186e-06 0.00393511717655588
TCONS_00031392 -2.74435892720426 4.54999968296801 133.972917208458 1.24670200154984e-06 0.00393511717655588
TCONS_00000876 -2.72192554059964 3.41755506459767 132.273917039485 1.31469366566787e-06 0.00393511717655588
TCONS_00066111 -2.02420561413373 7.16355614176985 123.450979517617 1.7509270307273e-06 0.00404346555735863
TCONS_00021223 -2.84773234443124 -0.0126647793704964 121.250883769351 1.88626060271697e-06 0.00404346555735863
TCONS_00013860 1.66406326383743 3.79096387965054 118.966091903403 2.04064912312902e-06 0.00404346555735863
TCONS_00066112 -2.0775838553956 4.36418674801238 118.186018472806 2.09688474708518e-06 0.00404346555735863
TCONS_00027004 -1.61601309260038 8.91128238633694 111.57599515036 2.65858617418956e-06 0.00404346555735863
TCONS_00029769 -3.02257312395444 1.80573223207334 109.84859247215 2.83483740552409e-06 0.00404346555735863
TCONS_00072119 -1.68691175392032 5.3460411963171 108.919092360446 2.93561068545015e-06 0.00404346555735863
TCONS_00038529 0.924411089266259 7.16740822385965 107.619060088413 3.08403934097529e-06 0.00404346555735863
TCONS_00054330 -1.58238929510267 3.00683860044418 106.819443743584 3.17991682671916e-06 0.00404346555735863
TCONS_00027007 -1.69224165627624 9.70108195422417 104.930418450595 3.42135241046525e-06 0.00404346555735863
TCONS_00000829 -3.24883708234747 0.980580980198267 104.65849433878 3.45793303321023e-06 0.00404346555735863
TCONS_00029001 -3.86571679343552 1.77890962552078 104.011771689496 3.54687979896497e-06 0.00404346555735863
TCONS_00000322 1.76189127461796 2.45611406802378 99.6312168325327 4.22939907798021e-06 0.00404346555735863
TCONS_00049640 -2.74621967313764 2.44367816797976 99.5697733186184 4.24006722113871e-06 0.00404346555735863
TCONS_00021446 -1.90793471723224 2.95390720576122 97.8692002299231 4.54887883047672e-06 0.00404346555735863
TCONS_00006352 -2.87987108023163 0.736099675222883 95.9739132280091 4.92624208295924e-06 0.00404346555735863
TCONS_00008587 -1.70627264690965 4.35130722392571 95.6911660700662 4.98578218194004e-06 0.00404346555735863
