logFC logCPM F PValue FDR
XLOC_018218 -3.60581312797169 4.49330158659231 331.382517164122 2.18392427425487e-08 0.000309649756085121
XLOC_009554 3.33861679537106 3.78250080683855 294.703827548729 3.64570647244058e-08 0.000309649756085121
XLOC_020688 2.53946708526216 4.25775783326326 252.255366268244 7.17394144214309e-08 0.000309649756085121
XLOC_044284 -3.74588532259443 5.61718325650837 247.101135674444 7.84650991644166e-08 0.000309649756085121
XLOC_015546 -5.67432962347513 3.31176740720654 238.056309321449 9.22384384816579e-08 0.000309649756085121
XLOC_044910 -5.75532840261892 2.17997651655626 233.420059839816 1.00443236011825e-07 0.000309649756085121
XLOC_000250 2.68865820337625 2.53149698610136 187.84803804764 2.56397920484524e-07 0.000567843275044854
XLOC_011462 3.02603868101013 2.08790370295649 181.190662361029 2.99359494126889e-07 0.000567843275044854
XLOC_017039 -6.78623336267059 0.803039076027177 177.922785423289 3.23659723775987e-07 0.000567843275044854
XLOC_016593 1.61976213059358 4.50149527739837 176.468179667868 3.35249655197518e-07 0.000567843275044854
XLOC_029959 1.60959249851365 4.15821383916039 173.329018049676 3.6204099009973e-07 0.000567843275044854
XLOC_036792 2.91710587586548 1.30118040014979 172.626562501887 3.68390512004014e-07 0.000567843275044854
XLOC_047131 4.30606810705522 0.279097979399155 165.379627914619 4.42552872361086e-07 0.000614377676552109
XLOC_009009 3.91185367501222 1.342932514535 163.474187839301 4.6500986493645e-07 0.000614377676552109
XLOC_053144 -4.64837442569877 1.93969172639389 156.876388897626 5.54354898152873e-07 0.000683593503408913
XLOC_042693 1.37409143735089 4.64715799057752 151.264728271738 6.47362950985385e-07 0.000748392031523542
XLOC_025173 2.88704977111232 1.90883922892991 145.708146178796 7.58972480287639e-07 0.000825806703992968
XLOC_043926 -4.47067680179656 1.60716080319531 139.560619424579 9.1121547971718e-07 0.000936375151573815
XLOC_043814 2.46210260817762 1.78001167927253 135.896275881556 1.01984506495851e-06 0.000992846008765134
XLOC_046135 -4.68557731509034 2.08144907400251 130.955831354095 1.19258641343333e-06 0.00109793445079068
