logFC logCPM F PValue FDR
XLOC_048664 -2.63215054863893 -0.282676812414652 94.9741143611984 4.56414927870124e-06 0.00193309856061367
XLOC_009324 -1.56159914399927 2.88385887168268 94.2184823081518 4.7171988076798e-06 0.00193309856061367
XLOC_020897 -1.81508252344871 6.02885505121015 93.989906079267 4.76472792619173e-06 0.00193309856061367
XLOC_005942 -2.18957272818949 5.16711092166017 92.1088411136901 5.17897303641824e-06 0.00193309856061367
XLOC_001822 -1.48962821755943 4.99874675869661 91.7594063446616 5.26070803191149e-06 0.00193309856061367
XLOC_050984 -0.82607438256201 6.7958504959575 91.0009926912813 5.44360277949488e-06 0.00193309856061367
XLOC_022838 -1.25668693135529 3.54412078119647 90.1731507741212 5.65220230010563e-06 0.00193309856061367
XLOC_037479 -1.23055884663628 3.21632384287263 89.087362209748 5.94083640231197e-06 0.00193309856061367
XLOC_027068 -1.64379888336266 4.19918824807407 88.7423208453723 6.03631363303301e-06 0.00193309856061367
XLOC_031884 -1.84194601715535 5.54752669235258 88.2357682071176 6.17990830464279e-06 0.00193309856061367
XLOC_010367 -2.17192687164491 1.54441869503341 87.8899263287495 6.28034992919971e-06 0.00193309856061367
XLOC_006810 -2.1227357345637 3.83712168425461 87.8027590064219 6.30598001308142e-06 0.00193309856061367
XLOC_042153 2.12402157062308 0.627005161905742 87.7096857667766 6.33348802643416e-06 0.00193309856061367
XLOC_013495 -1.93663215546523 5.98562580974566 87.6144742796081 6.36178004304724e-06 0.00193309856061367
XLOC_044216 -2.33486633655554 2.01084018987674 87.2987619680056 6.45670659613838e-06 0.00193309856061367
XLOC_038250 -1.40890699466848 4.71756370946188 86.9698117876334 6.55746332821525e-06 0.00193309856061367
XLOC_016275 1.36290884665894 3.66564308071928 86.7759379649662 6.61774765319125e-06 0.00193309856061367
XLOC_018541 -1.64978043858225 10.360431798332 86.5821097402756 6.6786968987354e-06 0.00193309856061367
XLOC_039886 -1.58552496192144 3.55924117317821 86.0821675694478 6.83910227457438e-06 0.00193309856061367
XLOC_038903 -2.172810246806 1.21948711356318 85.907964078137 6.8960998603096e-06 0.00193309856061367
XLOC_042118 -1.75890058749472 2.71674639002061 85.8679242789706 6.90928249686107e-06 0.00193309856061367
XLOC_041864 1.19844226715035 4.8392027088243 85.3319509015392 7.08874913765544e-06 0.00193309856061367
XLOC_026487 -2.10605018656105 4.75351943815802 85.1539189911245 7.1496202369904e-06 0.00193309856061367
XLOC_003433 -2.2067569042638 4.16624280640203 84.8534850718543 7.25379882502417e-06 0.00193309856061367
