GO.ID	Term	Annotated	Significant	Expected	Rank in elim	elim	weight01	lea
GO:1902555	endoribonuclease complex	10	0	0.09	10	0.020	0.004	0.020
GO:0005576	extracellular region	197	2	1.72	15	0.026	0.014	0.026
