Sample	Reads	Mapped	Rate
1A_S8	58364853	46105602	79.00 %
1C_S1	29222289	25434263	87.04 %
2A_S7	55711941	49371709	88.62 %
2C_S5	38563452	34285307	88.91 %
3A_S9	55778100	48926964	87.72 %
3C_S11	44386767	38807914	87.43 %
4A_S6	59268714	51791288	87.38 %
4C_S12	37364770	32120467	85.96 %
5A_S2	39381051	30637525	77.80 %
5C_S4	36745427	31600991	86.00 %
6A_S3	55388301	48680474	87.89 %
6C_S10	42730345	37107429	86.84 %
